route_id,agency_id,route_short_name,route_long_name,route_type,transport_type,circular,urban,night
3812,orgp,193,ПР. КУЛЬТУРЫ - ЦВЕТНОЙ ГОРОД,3,bus,0,1,0
3830,orgp,191/,"Р.Оккервиль - СТ.Метро""ПЕТРОГРАДСКАЯ""",3,bus,0,1,0
3850,orgp,7/,МОСКОВСКИЙ ВОКЗАЛ - Исаакиевская пл.,3,bus,0,1,0
3851,orgp,10/,"А.С.""КРЕСТОВСКИЙ ОСТРОВ"" - БАЛТИЙСКИЙ ВОКЗАЛ",3,bus,0,1,0
3857,orgp,С-1,"СТ.М.""ДЕВЯТКИНО""-СТ.М.""ПР.ВЕТЕРАНОВ""",3,bus,0,1,0
3862,orgp,С-2,"СТ. М. ""КУПЧИНО"" - СТ. М. ""ПАРНАС""",3,bus,0,1,0
3916,orgp,8 А,"Уткина Заводь- ст. метро ""Ломоносовская""",3,bus,0,1,0
3918,orgp,351Б,"А.С. ""НОВЫЙ ПЕТЕРГОФ""- Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ",3,bus,0,1,0
3995,orgp,А-2,"Петродворец, Университет - Ст. м. ""Пр. Ветеранов""",3,bus,0,1,0
4055,orgp,194,"ООО ""Хендэ Мотор  Мануфактуринг Рус"" - ст. метро ""Комендантский пр.""",3,bus,0,1,0
4075,orgp,2/,Театральная пл. - пл. Стачек.,3,bus,0,1,0
4095,orgp,385,"«г.Пушкин, Оранжерейная ул. – пос. Шушары, Вишерская ул.»  ",3,bus,0,1,0
4395,orgp,47А,"А.С.УЛ. ""ШАВРОВА"" - СТ. МЕТРО ""ПИОНЕРСКАЯ""",3,bus,0,1,0
4159,orgp,217,МЕБЕЛЬНАЯ УЛ. - ГЛУХАРСКАЯ УЛ.,3,bus,0,1,0
223,orgp,138,"СТ.МЕТРО ""ПЛОЩАДЬ МУЖЕСТВА"" - КРЕМАТОРИЙ",3,bus,0,1,0
224,orgp,136,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" - ПЛ. РАСТРЕЛЛИ",3,bus,0,1,0
225,orgp,22,УЛ. СТАСОВОЙ - ДВИНСКАЯ УЛ.,3,bus,0,1,0
226,orgp,137,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЁВКА"" - СТ. МЕТРО ""ЧЁРНАЯ РЕЧКА""",3,bus,0,1,0
241,orgp,174,БЕЛОРУССКАЯ УЛ. - ГРАНИТНАЯ УЛ.,3,bus,0,1,0
234,orgp,102,"АВТОБУСНАЯ СТАНЦИЯ ""ПР. КУЛЬТУРЫ""-ХАСАНСКАЯ УЛ., ТК ""ЛЕНТА""",3,bus,0,1,0
240,orgp,153,"АВТОБУСНАЯ СТАНЦИЯ ""ПР. КУЛЬТУРЫ"" - ХАСАНСКАЯ УЛ., ТК ""ЛЕНТА""",3,bus,0,1,0
228,orgp,15,БЕЛОРУССКАЯ УЛ. - ПЛ. ВОССТАНИЯ,3,bus,0,1,0
231,orgp,30,"СТ.МЕТРО ""ЛАДОЖСКАЯ""-РЯБОВСКОЕ ШОССЕ, 117",3,bus,0,1,0
233,orgp,77,"БЕЛОРУССКАЯ УЛ. - СТ. МЕТРО ""ЛАДОЖСКАЯ""",3,bus,0,1,0
237,orgp,123,"АС ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - СТ.МЕТРО ""ЛАДОЖСКАЯ""",3,bus,0,1,0
229,orgp,24,"ХАСАНСКАЯ УЛ. - СТ. МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",3,bus,0,1,0
236,orgp,107,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЁВКА"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,bus,0,1,0
238,orgp,132,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" - СТ. МЕТРО ""ПЛОЩАДЬ АЛЕКСАНДРА НЕВСКОГО""",3,bus,0,1,0
239,orgp,133,"Ж.-Д. СТАНЦИЯ ""РУЧЬИ"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,bus,0,1,0
242,orgp,469,"САНКТ-ПЕТЕРБУРГ, СТ. МЕТРО ""УЛИЦА ДЫБЕНКО"" - САДОВОДСТВО ""ВОСХОД-2""",3,bus,0,0,0
243,orgp,485,"САНКТ-ПЕТЕРБУРГ, СТ. МЕТРО ""УЛИЦА ДЫБЕНКО"" - САД-ВО ""СЕВЕРНАЯ САМАРКА"" (ЧЕРЕЗ РАЗМЕТЕЛЕВО)",3,bus,0,0,0
221,orgp,103,"АВТОБУСНАЯ СТАНЦИЯ ""ПР. КУЛЬТУРЫ"" - УЛ. КОММУНЫ",3,bus,0,1,0
235,orgp,106,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЕВКА"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,bus,0,1,0
230,orgp,27,БЕЛОРУССКАЯ УЛ. - ТЕАТРАЛЬНАЯ ПЛ.,3,bus,0,1,0
232,orgp,33,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЁВКА"" - СТ. МЕТРО ""ЧЁРНАЯ РЕЧКА""",3,bus,0,1,0
324,orgp,85,"УЛ. ШАВРОВА - СТАНЦИЯ МЕТРО ""ОЗЕРКИ""",3,bus,0,1,0
336,orgp,178,"АВТОБУСНАЯ СТАНЦИЯ ""ПР. КУЛЬТУРЫ"" - АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЕВКА""",3,bus,0,1,0
368,orgp,119,"УТКИНА ЗАВОДЬ - СТ. МЕТРО ""ЛОМОНОСОВСКАЯ""",3,bus,0,1,0
370,orgp,65,ДВИНСКАЯ УЛ. - ПЛ. АЛЕКСАНДРА НЕВСКОГО,3,bus,0,1,0
385,orgp,12,УЛ. ПОДВОЙСКОГО - РОЩИНСКАЯ УЛ.,3,bus,0,1,0
388,orgp,118,ПР. АЛЕКСАНДРОВСКОЙ ФЕРМЫ - УЛ. КОЛЛОНТАЙ,3,bus,0,1,0
264,orgp,177,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" - ДЕРЕВНЯ НОВАЯ",3,bus,0,1,0
304,orgp,113,"СТ. МЕТРО ""ПАРНАС"" - 3-Й ВЕРХНИЙ ПЕР., 5",3,bus,0,1,0
